Lema	Clase	Frec. gral.	Frec. norm.	Frec. norm.
sociedad	N	101587	264.614	303.787
calle	N	101402	264.132	303.234
investigación	N	101027	263.156	302.112
cabeza	N	100662	262.205	301.021
puerta	N	100264	261.168	299.831
poco	Q	100192	260.981	299.615
nosotros	L	99990	260.454	299.011
principal	A	99920	260.272	298.802
utilizar	V	99880	260.168	298.682
política	N	99050	258.006	296.2
asegurar	V	98812	257.386	295.489
realidad	N	98533	256.659	294.654
escribir	V	98494	256.558	294.538
escuchar	V	98390	256.287	294.227
ayer	R	98155	255.675	293.524
acción	N	97626	254.297	291.942
sentido	N	97403	253.716	291.275
jugar	V	97265	253.356	290.862
incluso	R	97151	253.059	290.522
acabar	V	96804	252.155	289.484
ofrecer	V	96790	252.119	289.442
voz	N	96528	251.437	288.659
cambiar	V	96398	251.098	288.27
pueblo	N	96287	250.809	287.938
valor	N	96027	250.132	287.16
tú	L	96001	250.064	287.083
aparecer	V	95990	250.035	287.05
amigo	N	95884	249.759	286.733
necesitar	V	95547	248.881	285.725
bajo	P	95487	248.725	285.546
fuerza	N	95439	248.6	285.402
tal	D	95361	248.397	285.169
cuyo	H	95336	248.332	285.094
producto	N	95133	247.803	284.487
juego	N	94891	247.172	283.763
condición	N	94808	246.956	283.515
resultar	V	94706	246.691	283.21
español	A	94575	246.349	282.818
mercado	N	94522	246.211	282.66
ya que	C	94252	245.508	281.852
ahí	R	94032	244.935	281.194
verdad	N	93489	243.521	279.571
sacar	V	93476	243.487	279.532
necesario	A	93215	242.807	278.751
frente a	P	92794	241.71	277.492
decidir	V	92587	241.171	276.873
director	N	92586	241.168	276.87
población	N	92492	240.924	276.589
distinto	A	92441	240.791	276.437
caer	V	91526	238.407	273.701
muerte	N	91468	238.256	273.527
ocurrir	V	91371	238.004	273.237
medida	N	91246	237.678	272.863
cinco	M	90941	236.884	271.951
minuto	N	90868	236.693	271.733
ambos	Q	90405	235.487	270.348
hermano	N	90143	234.805	269.565
luz	N	89839	234.013	268.656
conseguir	V	89593	233.372	267.92
tierra	N	89301	232.612	267.047
poder	N	89097	232.08	266.437
recurso	N	88609	230.809	264.977
imagen	N	88507	230.543	264.672
seguridad	N	88110	229.509	263.485
leer	V	87835	228.793	262.663
efecto	N	87781	228.652	262.501
próximo	A	87521	227.975	261.724
comunidad	N	86885	226.318	259.822
uso	N	86595	225.563	258.955
intentar	V	85833	223.578	256.676
claro	A	85671	223.156	256.192
organización	N	85328	222.263	255.166
dato	N	85109	221.692	254.511
objetivo	N	84490	220.08	252.66
razón	N	83963	218.707	251.084
principio	N	83959	218.697	251.072
morir	V	83795	218.27	250.582
universidad	N	83466	217.413	249.598
tanto	Q	83130	216.537	248.593
servir	V	83046	216.319	248.342
todavía	R	83028	216.272	248.288
siguiente	A	82904	215.949	247.917
incluir	V	82681	215.368	247.25
Estados Unidos	K	82608	215.178	247.032
